,WeatherAthenryProcessed_wdsp^3,WeatherAthenryProcessed_glorad,WeatherFinnerProcessed_wdsp^3,WeatherFinnerProcessed_glorad
04-06,2312.8611694992696,0.41529130812401166,3634.1003770817065,0.49626432665973985
04-07,425.3241825142107,0.3466053588288519,1825.204697486522,0.6167199828183311
04-08,361.3182637106254,0.2758134919102265,1446.9315371864411,0.337459625092068
04-09,389.25592852819864,0.6836536016451202,1699.6825315419987,0.5030250547816252
04-10,1184.356244127756,0.7255678274483947,1142.0345492967738,0.6084799603536692
04-11,409.93075864932473,0.6618974548303111,870.7870646647043,0.3305424082835294
04-12,396.45324732260286,0.5363204604632978,1123.269414582292,0.3519070448780153
04-13,638.5290885866814,0.49450987596636403,1800.696139833673,0.7501826761480138
04-14,1544.0928699357496,0.6870534903020952,1624.2887425948934,0.5385863667107503
04-15,1043.1788435361377,0.27815808992598967,2508.1443065035783,0.52360831119601
04-16,1011.1381433494516,0.561920693334024,1040.4535586504733,0.4469461677132026
04-17,282.7042113862482,0.30809977323087817,681.1621222332824,0.4077708494265009
04-18,259.1518773716167,0.4016375710547603,2141.43385950814,0.5733927896200329
04-19,188.03676547958236,0.6835135374699368,290.93200986408203,0.5850657752596634
04-20,214.1326248702009,0.5642848125325151,1048.0598919542947,0.5313744313963984
04-21,598.3950367536042,0.4830630067919114,1177.5297176895278,0.7528174174191314
04-22,501.6007585426281,0.6158807763499284,525.942340009879,0.8024253975041494
04-23,377.32326919754865,0.374006694194258,773.5586417677895,0.4236350142681403
04-24,393.59129353141896,0.6644514741977898,604.0974106473748,0.4247887759612626
04-25,740.7382982897474,0.4502375055910825,1038.949893846461,0.6950691681985607
04-26,869.177987822062,0.694106941223138,2060.518361586761,0.3027316189926761
04-27,614.3034450213369,0.5953013622500165,603.4013271051421,0.7570931885356532
04-28,559.0389359550406,0.2550710041267728,1589.8443899245394,0.3032165615910517
04-29,462.83018811124765,0.3976203418463717,689.1880360471266,0.3215446616219429
04-30,412.9787524921674,0.5126630211656453,702.0964619055451,0.30747320532043104
