,WeatherAthenryProcessed_wdsp^3_sim5,WeatherAthenryProcessed_glorad_sim5,WeatherFinnerProcessed_wdsp^3_sim5,WeatherFinnerProcessed_glorad_sim5
04-13,732.188702162468,0.10803587587563737,4817.365851904504,0.3737320559910344
04-14,5113.537566655131,0.8187779869726284,103.47992894243595,0.01313889937703914
04-15,2229.0782460498117,0.06562318601249263,2385.1655888077216,0.9432470559982701
04-16,2895.9878194750786,0.19126892025022246,598.6789795952873,0.4336910163648511
04-17,583.9109772868488,0.006026101702918227,115.22533000541522,0.11120979326699987
04-18,394.3782251624215,0.10334633300453155,2514.2658156648604,0.2556157880377001
04-19,18.707249614800045,0.9770177315446521,521.6456218019775,0.6374898184467105
04-20,5.778026917265824,0.07992842381744719,1367.0715953678316,0.9663198977176738
04-21,1267.134387059222,0.43063338793331857,674.6902684482983,0.9998798874691807
04-22,586.8815410391481,0.2406648632199052,50.114826352841675,0.9998166692177882
04-23,121.15110259345997,0.8619946948619664,1964.7898814695545,0.7893545336982061
04-24,482.5883319839864,0.795896956287264,567.363285725123,0.33111003956060625
04-25,13.67277245651061,0.27655306944082275,1699.4034077425713,0.6981290299937678
04-26,360.3793532902813,0.12823168587116257,3063.5179449910397,0.40868196542418894
04-27,1570.4424929736929,0.2354678259983745,306.87555325175697,0.6915707966826667
04-28,1808.7067797751229,0.12094107414478203,4335.254569645712,0.010830853184728075
04-29,914.171455920718,0.5243790530725289,458.01205992682316,0.24456316569871364
04-30,14.112717733339087,0.2887028807126007,642.9644253654191,0.8741517919274154
05-01,364.1953146500254,0.16735799165584064,1673.6569501853928,0.11193911782639904
05-02,180.9627743289801,0.14431176291208608,1701.5886719739847,0.4148384907947856
05-03,286.19598643796735,0.8645549922579174,761.0007542263844,0.1777055849874918
05-04,1041.8431812443341,0.97702879888467,2297.651597224792,0.9894588171392354
05-05,529.0232039682388,0.9989101372576884,1063.960385897235,0.8128364046950379
05-06,71.45139066025241,0.9842130460224658,857.7978690104641,0.8795976936948199
05-07,214.64350431471283,0.007012269154685833,134.71309347387182,0.738794355809949
05-08,290.0206626631185,0.6879236384968829,486.41481831330657,0.0001276095965465302
05-09,1706.2491725362188,0.09903918669019177,665.2964611438513,0.2242241628158034
05-10,1057.598906057114,0.059435421860448166,7066.576918334546,0.9715004890710597
05-11,420.1732313832343,0.7509639242648526,565.9345511980877,0.9428214488489082
05-12,348.93780906816403,0.14352741657462265,159.87007668016582,0.08594738265209803
05-13,900.0165695266361,0.0003203982624428433,4331.463130839463,0.17329610507592738
05-14,171.6215666366233,0.03221913789808022,1102.4364646389004,0.009220188449618987
05-15,345.93277402485825,0.10526737709165028,441.7248433342388,0.6489097980983858
05-16,206.12682395622352,0.25239267178034946,1430.8533314040187,0.2886376978277391
05-17,109.44835148973308,0.7269024724435255,304.6766450208561,0.6396036213898022
05-18,790.4002504679094,0.1394954039740472,121.35708015170717,0.32066670818254694
05-19,377.60716701921547,0.7865760320826168,1516.3747187148572,0.16464014761148354
05-20,46.329142364848934,0.06592505344527293,455.28023078738823,0.9997443012894995
05-21,304.96251778396913,0.7109374489905055,440.52400485517916,0.042673199463689596
05-22,3765.1794210637054,0.04014638153487378,5910.01668361706,0.9106063756440275
05-23,20.674070148427976,0.025973209376049775,7.3287592425948365,0.79121194273916
05-24,171.70717791479242,0.6890970586983243,1671.6946131991892,0.003445966917503302
05-25,1647.2842358518226,0.9594980791269929,649.2319808588312,0.008770293852402435
05-26,1930.6181396504435,0.20243348804867115,341.5027547420097,0.9380745307517555
05-27,152.96749573950595,0.863248068635324,1875.8175207303054,0.11151003464150336
05-28,346.46416329445776,0.07149832716836872,4285.681109216605,0.29098587877598714
05-29,31.666888085112873,0.2626831927796621,99.6499285254331,0.24906750057622246
05-30,106.85083261640062,0.9317326187308408,757.0952850320713,0.9607531470103478
05-31,894.676745560853,0.9940048321254042,23.94358007849878,0.00017916273785113475
06-01,94.38632099504264,0.03043354856589071,0.17095163806623428,0.8312648949793986
06-02,4.786676811582166,0.37050390085409357,282.7262580864493,0.257757309098391
06-03,1369.035644847102,0.9910821388731358,1149.3668283652803,0.5115050295702528
06-04,287.8781918236258,0.8404747150370913,40.09611328038836,0.9705576438951401
06-05,1771.207650669452,0.2815327951361528,1079.222324299641,0.31966186410146763
06-06,192.97975262610126,0.9712919392239199,18689.985206221034,0.7998608499294322
06-07,446.27463273678876,0.936286126656218,1363.3864752767665,0.3186739580838187
06-08,614.8295600895599,0.13169600166270082,60.26050584884144,0.47281896775403826
06-09,67.93559740765414,0.5702826726777425,1029.3761879392953,0.2525044041101633
06-10,534.8828722369758,0.657352362281842,193.486716592105,0.5273763754281159
06-11,394.2444355195529,0.29459604085297364,3068.7686235143656,0.9799850026818046
06-12,226.03043227227954,0.5847832748732777,305.2286871490625,0.7247308369349338
06-13,189.29636592786616,0.27278043978311367,844.6613611614316,0.8705705816507231
06-14,228.9973885394821,0.08905105425561514,163.32413585344594,0.8656673606458675
06-15,155.04846778588512,0.2829977924112925,382.32456672493953,0.9036289106719505
06-16,556.8916006212005,0.8354911705855983,1089.4697246631688,0.6776113451668048
06-17,105.2744275192167,0.08002111527592319,756.912602042798,0.9515979975466731
06-18,112.30655372659935,0.1463739174408665,1310.3305146721762,0.8915636695058704
06-19,167.35999505925543,0.16979411773976658,949.9308080357326,0.7642512659785371
06-20,419.7870201733254,0.7442609799488344,187.63282973703014,0.9402833064615568
06-21,339.72627959332027,0.8642091377772859,2066.1444274358323,0.05192401271170257
06-22,778.9473877762046,0.7597100074999487,2334.7981207295243,0.595932163942939
06-23,162.7375614682197,0.30475609632268585,3930.0526075875664,0.8688936112749167
06-24,8.024189268306657,0.24161461504051998,113.8047143194621,0.29302363086574995
06-25,5.985364195391346,0.6282794940261852,1374.6731369463246,0.4694413853599997
06-26,139.85212903949156,0.42096074405181155,316.6522541682041,0.4880175503835042
06-27,487.04953966681524,0.17838772962364594,6307.681227594599,0.045956377425337515
06-28,563.7304127819983,0.2782332740083935,234.40539293675678,0.0003042120458384689
06-29,1402.4866862734514,0.5059273932405626,459.2757216947617,0.848241032071431
06-30,1307.1294708452908,0.8722557229285272,163.92840698302564,0.0005764558018081366
07-01,256.08121318470086,0.39694783450195786,965.6401711119838,0.018514573076446602
07-02,53.13180077315688,0.1084756293223647,702.4726258709067,0.4365645593197847
07-03,167.52178015358757,0.003683501295664214,88.67335972054798,0.7008658199225672
07-04,978.1034735410436,0.15577866048579905,2930.0408229902177,0.2993879501936057
07-05,195.02822171457564,0.12196370699888333,5406.799092048005,0.1809525984342721
07-06,277.93461020236504,0.8934844060086975,568.1545258572106,0.409841313614864
